ticker,data,ano_mes_carteira,book-to-market-value,indicator_rank,tercile
COGN3,2021,2022,1.612072907615581,2.0,1
LIGT3,2021,2022,1.4746395004098425,3.0,1
MYPK3,2021,2022,1.4735992282633086,4.0,1
TPIS3,2021,2022,1.405440456151242,5.0,1
PFRM3,2021,2022,1.3177183578849778,6.0,1
TECN3,2021,2022,1.315189002471211,7.0,1
VLID3,2021,2022,1.2722417089129825,8.0,1
CPLE6,2021,2022,1.2642318378060162,9.0,1
BRML3,2021,2022,1.249720480694845,10.0,1
MDNE3,2021,2022,1.2231525449396423,11.0,1
PCAR3,2021,2022,1.220299072721705,12.0,1
GFSA3,2021,2022,1.220037945768692,13.0,1
HBOR3,2021,2022,1.1791468919089811,14.0,1
SAPR11,2021,2022,1.1656381451368931,15.0,1
CSMG3,2021,2022,1.1577963990409972,16.0,1
TCSA3,2021,2022,1.1199393139209164,17.0,1
AXIA3,2021,2022,1.1105508694921804,18.0,1
NEOE3,2021,2022,1.0658021105333926,19.0,1
ENBR3,2021,2022,1.0212396445060037,20.0,1
EMBJ3,2021,2022,1.001070388714207,21.0,1
MEAL3,2021,2022,1.0008262236386356,22.0,1
LOGG3,2021,2022,1.0005444864693114,23.0,1
VIVT3,2021,2022,0.9717691542173824,24.0,1
MELK3,2021,2022,0.9263177729769844,25.0,1
GOAU4,2021,2022,0.914261560316022,26.0,1
PETR4,2021,2022,0.9122727711389292,27.0,1
G2DI33,2021,2022,0.9110507988259128,28.0,1
CMIG4,2021,2022,0.9051856600649038,29.0,1
SYNE3,2021,2022,0.9035281521743678,30.0,1
AALR3,2021,2022,0.871458108918523,31.0,1
POMO4,2021,2022,0.8662863563987828,32.0,1
ALOS3,2021,2022,0.8612546033333403,33.0,1
JHSF3,2021,2022,0.8543670597584104,34.0,1
CESP6,2021,2022,0.8528307852742365,35.0,1
TIMS3,2021,2022,0.8522078962467294,36.0,1
USIM5,2021,2022,0.8307532259619527,37.0,1
ALUP11,2021,2022,0.8290699963049903,38.0,1
EVEN3,2021,2022,0.8120852913642488,39.0,1
ISAE4,2021,2022,0.7788265563121337,40.0,1
MTRE3,2021,2022,0.7784169498154462,41.0,1
CAML3,2021,2022,0.7750163725063679,42.0,1
GGBR4,2021,2022,0.7464664724826747,43.0,1
LAVV3,2021,2022,0.7435852450640221,44.0,1
MRVE3,2021,2022,0.7355639167841196,45.0,1
AGRO3,2021,2022,0.7334606078116651,46.0,1
TUPY3,2021,2022,0.7322915324071178,47.0,1
ENAT3,2021,2022,0.7018674751924542,48.0,1
TRIS3,2021,2022,0.6765392134686339,49.0,1
CYRE3,2021,2022,0.664363625070002,50.0,1
ITSA4,2021,2022,0.6466669816653292,51.0,1
OIBR3,2021,2022,0.6442660862665078,52.0,1
POSI3,2021,2022,0.6346051633159602,53.0,1
POWE3,2021,2022,0.620143903713447,54.0,1
TEND3,2021,2022,0.6183578886552086,55.0,1
LUPA3,2021,2022,0.6168743032089218,56.0,1
IGTI3,2021,2022,0.6126768322103673,57.0,1
SEER3,2021,2022,0.6078826167062998,58.0,1
EZTC3,2021,2022,0.6065464735760702,59.0,1
MDIA3,2021,2022,0.6010899302389964,60.0,1
CEAB3,2021,2022,0.5850812131335575,61.0,1
IRBR3,2021,2022,0.5814960771932217,62.0,1
DIRR3,2021,2022,0.5754019075420331,63.0,1
JBSS3,2021,2022,0.573411505521773,64.0,1
PRNR3,2021,2022,0.5680835147854129,65.0,1
SULA11,2021,2022,0.5592815789308436,66.0,1
BRAP4,2021,2022,0.5462495468620242,67.0,2
PSSA3,2021,2022,0.5455984757479583,68.0,2
RAPT4,2021,2022,0.5202022395240389,69.0,2
VULC3,2021,2022,0.5152726539799242,70.0,2
MILS3,2021,2022,0.5069125976220115,71.0,2
TAEE11,2021,2022,0.4997588490871872,72.0,2
OPCT3,2021,2022,0.4972421603664015,73.0,2
CPFE3,2021,2022,0.4867832656151936,74.0,2
IGTA3,2021,2022,0.4845223827318027,75.0,2
ZAMP3,2021,2022,0.4842526378049624,76.0,2
UGPA3,2021,2022,0.4820007688789067,77.0,2
FESA4,2021,2022,0.4809259346433415,78.0,2
ROMI3,2021,2022,0.4791399431865485,79.0,2
RIAA3,2021,2022,0.4773386293809328,80.0,2
BMOB3,2021,2022,0.4759505273376341,81.0,2
SRNA3,2021,2022,0.4704781415829971,82.0,2
ANIM3,2021,2022,0.4659948269656053,83.0,2
MULT3,2021,2022,0.457672649729191,84.0,2
HYPE3,2021,2022,0.4401609867971933,85.0,2
MOVI3,2021,2022,0.4361727389377673,86.0,2
RAIL3,2021,2022,0.4355076614480135,87.0,2
PORT3,2021,2022,0.4340371616912469,88.0,2
EQTL3,2021,2022,0.4339500061244088,89.0,2
GRND3,2021,2022,0.4313613208437116,90.0,2
ALLD3,2021,2022,0.4298380151066238,91.0,2
AMER3,2021,2022,0.4238752719432755,92.0,2
JALL3,2021,2022,0.415677066776575,93.0,2
TGMA3,2021,2022,0.4090869345503938,94.0,2
SHOW3,2021,2022,0.4074435475341358,95.0,2
WEST3,2021,2022,0.4001271845567414,96.0,2
APER3,2021,2022,0.3934672316520988,97.0,2
ENGI11,2021,2022,0.3923178496679291,98.0,2
CRFB3,2021,2022,0.3905146265323101,99.0,2
RECV3,2021,2022,0.3855113670974906,100.0,2
SLCE3,2021,2022,0.3835590826502775,101.0,2
KEPL3,2021,2022,0.381901377891439,102.0,2
ENEV3,2021,2022,0.3817220341072496,103.0,2
VBBR3,2021,2022,0.3788341880561865,104.0,2
BRFS3,2021,2022,0.3773560421142381,105.0,2
JSLG3,2021,2022,0.3769876621356159,106.0,2
FRAS3,2021,2022,0.3741062071388052,107.0,2
RANI3,2021,2022,0.3703017744470357,108.0,2
LEVE3,2021,2022,0.3670943088884462,109.0,2
VALE3,2021,2022,0.3653448453393115,110.0,2
AMAR3,2021,2022,0.3632212922036976,111.0,2
CSNA3,2021,2022,0.3577046587295518,112.0,2
