ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
NATU3,202205,202205,1.183080368905483,106.0,3
MGLU3,202205,202205,1.1868764441563442,107.0,3
MRVE3,202205,202205,1.2117692630371806,108.0,3
BRAP4,202205,202205,1.23270343785559,109.0,3
VALE3,202205,202205,1.2424924057327744,110.0,3
CSNA3,202205,202205,1.2648146916438183,111.0,3
LPSB3,202205,202205,1.2749179780256032,112.0,3
SBFG3,202205,202205,1.2983244638152158,113.0,3
DEXP3,202205,202205,1.3016485321831,114.0,3
MTRE3,202205,202205,1.32018627392039,115.0,3
BRFS3,202205,202205,1.3307059342622465,116.0,3
LIGT3,202205,202205,1.3634049697218529,117.0,3
DIRR3,202205,202205,1.3663759826801314,118.0,3
VLID3,202205,202205,1.400417672825896,119.0,3
TGMA3,202205,202205,1.4159532930104162,120.0,3
GFSA3,202205,202205,1.4181349241330206,121.0,3
ECOR3,202205,202205,1.420475134248763,122.0,3
EZTC3,202205,202205,1.440445514635074,123.0,3
B3SA3,202205,202205,1.4460407061669482,124.0,3
MDNE3,202205,202205,1.4948620381256403,125.0,3
NEXP3,202205,202205,1.5185143213681882,126.0,3
YDUQ3,202205,202205,1.5192556991808612,127.0,3
COGN3,202205,202205,1.5402280177880825,128.0,3
TRIS3,202205,202205,1.5694290725016766,129.0,3
TCSA3,202205,202205,1.5750510550933674,130.0,3
STBP3,202205,202205,1.5754573143022466,131.0,3
MILS3,202205,202205,1.5962229460591977,132.0,3
ANIM3,202205,202205,1.6000875689727982,133.0,3
PRIO3,202205,202205,1.6577837461741278,134.0,3
TASA4,202205,202205,1.6691509832783258,135.0,3
POSI3,202205,202205,1.674770752112985,136.0,3
AMAR3,202205,202205,1.7152775745416344,137.0,3
RIAA3,202205,202205,1.7485787487829016,138.0,3
CYRE3,202205,202205,1.7506731521542933,139.0,3
JHSF3,202205,202205,1.751259573659923,140.0,3
BHIA3,202205,202205,1.8272546563338183,141.0,3
MEAL3,202205,202205,1.8802646928742195,142.0,3
HBOR3,202205,202205,1.9702617442951944,143.0,3
EVEN3,202205,202205,1.9863881780686552,144.0,3
LUPA3,202205,202205,2.087083417708972,145.0,3
SHOW3,202205,202205,2.129248391502811,146.0,3
TPIS3,202205,202205,2.14801811834198,147.0,3
ETER3,202205,202205,2.2186060964085392,148.0,3
OIBR3,202205,202205,2.2607409473663407,149.0,3
CVCB3,202205,202205,2.457805347286466,150.0,3
BRKM5,202206,202206,0.0190622326637848,1.0,1
FESA4,202206,202206,0.0729042820048049,2.0,1
SLCE3,202206,202206,0.0913050333960685,3.0,1
MBRF3,202206,202206,0.1069527320886215,4.0,1
JBSS3,202206,202206,0.1205111837671589,5.0,1
BEEF3,202206,202206,0.1519528191124486,6.0,1
CAML3,202206,202206,0.2046176148238023,7.0,1
KLBN11,202206,202206,0.3095141467435213,8.0,1
VIVT3,202206,202206,0.3244994282544211,9.0,1
AGRO3,202206,202206,0.3254075543260881,10.0,1
NEOE3,202206,202206,0.333324518966892,11.0,1
SUZB3,202206,202206,0.3423368074215259,12.0,1
MYPK3,202206,202206,0.3630438277339093,13.0,1
TUPY3,202206,202206,0.3805442847497125,14.0,1
ROMI3,202206,202206,0.38123711257359,15.0,1
CPFE3,202206,202206,0.3835376125652954,16.0,1
AALR3,202206,202206,0.3995742339722533,17.0,1
EGIE3,202206,202206,0.4400088356144175,18.0,1
ENBR3,202206,202206,0.4444280502418706,19.0,1
SMTO3,202206,202206,0.4660036297560362,20.0,1
MDIA3,202206,202206,0.4669660526836964,21.0,1
FLRY3,202206,202206,0.4735890028461144,22.0,1
SAUD3,202206,202206,0.4742434212581878,23.0,1
KEPL3,202206,202206,0.475804887343202,24.0,1
ALUP11,202206,202206,0.4887806918961,25.0,1
LEVE3,202206,202206,0.5140673902485543,26.0,1
PSSA3,202206,202206,0.525409943252902,27.0,1
TOTS3,202206,202206,0.5457413863878017,28.0,1
SYNE3,202206,202206,0.5479398437254769,29.0,1
WEGE3,202206,202206,0.556877966987656,30.0,1
RAIL3,202206,202206,0.5583055918089497,31.0,1
RADL3,202206,202206,0.5685829240453102,32.0,1
PCAR3,202206,202206,0.5729072375269993,33.0,1
SHUL4,202206,202206,0.5812984361868143,34.0,1
VULC3,202206,202206,0.6035068873451016,35.0,1
GGBR4,202206,202206,0.6313378005148558,36.0,1
LOGN3,202206,202206,0.6335461735792289,37.0,1
ISAE4,202206,202206,0.642604919193352,38.0,1
TIMS3,202206,202206,0.6436949611775759,39.0,1
DXCO3,202206,202206,0.6573623472871678,40.0,1
SAPR11,202206,202206,0.6591846824809137,41.0,1
GOAU4,202206,202206,0.669695811531478,42.0,1
CSMG3,202206,202206,0.6704597962771441,43.0,1
BBSE3,202206,202206,0.6756912162055225,44.0,1
EMBJ3,202206,202206,0.6759755271870025,45.0,1
TAEE11,202206,202206,0.7056101547867312,46.0,1
GRND3,202206,202206,0.7157566397945275,47.0,1
ENGI11,202206,202206,0.7182705355613995,48.0,1
RANI3,202206,202206,0.7377974146495088,49.0,1
MOVI3,202206,202206,0.755683547033911,50.0,1
CPLE6,202206,202206,0.762226579645389,51.0,2
ENAT3,202206,202206,0.7663853714376855,52.0,2
SRNA3,202206,202206,0.7840405839316918,53.0,2
BRPR3,202206,202206,0.7847397495483397,54.0,2
AZZA3,202206,202206,0.7867490843756314,55.0,2
POMO4,202206,202206,0.78940433503934,56.0,2
ENEV3,202206,202206,0.7972066385967288,57.0,2
AESB3,202206,202206,0.7979024525331436,58.0,2
PRNR3,202206,202206,0.8017163922543318,59.0,2
ABEV3,202206,202206,0.8133898262608816,60.0,2
AXIA3,202206,202206,0.8182117112358774,61.0,2
ALPA4,202206,202206,0.8213817141164927,62.0,2
VBBR3,202206,202206,0.8222191787484041,63.0,2
PTBL3,202206,202206,0.8519681432713065,64.0,2
LWSA3,202206,202206,0.8574666573266779,65.0,2
CRFB3,202206,202206,0.8647147450554843,66.0,2
RAPT4,202206,202206,0.8824617253116583,67.0,2
