ticker,data,ano_mes_carteira,illiquidity,indicator_rank,tercile
AURA33,202505,202505,0.034082792922149,44.0,1
FESA4,202505,202505,0.0313279886303161,45.0,1
CAML3,202505,202505,0.030458007906793,46.0,1
RIAA3,202505,202505,0.0293773530349712,47.0,1
EVEN3,202505,202505,0.0290300710705132,48.0,1
POSI3,202505,202505,0.0287439667517971,49.0,1
MDNE3,202505,202505,0.0255471003724645,50.0,1
LJQQ3,202505,202505,0.0254759595996816,51.0,1
LAVV3,202505,202505,0.0245860258507315,52.0,1
LOGG3,202505,202505,0.0242333767292801,53.0,1
SOJA3,202505,202505,0.0226378956737384,54.0,1
PLPL3,202505,202505,0.0213974722938279,55.0,1
RANI3,202505,202505,0.0212945365469746,56.0,1
HBSA3,202505,202505,0.0209651134663878,57.0,1
VLID3,202505,202505,0.0204283228475278,58.0,1
TGMA3,202505,202505,0.019908933947248,59.0,2
GRND3,202505,202505,0.0186304924579974,60.0,2
AGRO3,202505,202505,0.0179244589450161,61.0,2
BHIA3,202505,202505,0.0172412065916332,62.0,2
MILS3,202505,202505,0.0159273315506687,63.0,2
ONCO3,202505,202505,0.0158074408573459,64.0,2
FRAS3,202505,202505,0.0153080138326975,65.0,2
UNIP6,202505,202505,0.0151941549862562,66.0,2
AMBP3,202505,202505,0.01488045332156,67.0,2
KEPL3,202505,202505,0.0142479269348592,68.0,2
ANIM3,202505,202505,0.0133622373737344,69.0,2
MYPK3,202505,202505,0.0123109296047927,70.0,2
SAUD3,202505,202505,0.0119293909752465,71.0,2
SIMH3,202505,202505,0.0118177279793863,72.0,2
TTEN3,202505,202505,0.0116691805603001,73.0,2
VULC3,202505,202505,0.0111991407406764,74.0,2
JHSF3,202505,202505,0.0105107003398073,75.0,2
CBAV3,202505,202505,0.0104327394376643,76.0,2
LEVE3,202505,202505,0.0097709933792173,77.0,2
SBFG3,202505,202505,0.009736728712638,78.0,2
SRNA3,202505,202505,0.0093900780746806,79.0,2
MOVI3,202505,202505,0.00931479978705,80.0,2
TUPY3,202505,202505,0.0088509090408077,81.0,2
ECOR3,202505,202505,0.0087047058850619,82.0,2
DXCO3,202505,202505,0.0084099488810533,83.0,2
ALPA4,202505,202505,0.0083255678170712,84.0,2
MDIA3,202505,202505,0.0080567632124223,85.0,2
LWSA3,202505,202505,0.0078450342736809,86.0,2
CVCB3,202505,202505,0.0077775489130881,87.0,2
CEAB3,202505,202505,0.00743250613235,88.0,2
PCAR3,202505,202505,0.0073375887364805,89.0,2
PORT3,202505,202505,0.0069533582068819,90.0,2
INTB3,202505,202505,0.0068774452789126,91.0,2
ORVR3,202505,202505,0.0064523710851244,92.0,2
RAPT4,202505,202505,0.0063523504292239,93.0,2
AUAU3,202505,202505,0.0063264578104752,94.0,2
EZTC3,202505,202505,0.0060626192278406,95.0,2
TEND3,202505,202505,0.0057408388992712,96.0,2
GMAT3,202505,202505,0.0053662167310366,97.0,2
VAMO3,202505,202505,0.0050978604892573,98.0,2
