ticker,data,ano_mes_carteira,returns,indicator_rank,tercile
TAMM4,201108,201108,0.0145287174614283,62.0,2
ITSA4,201108,201108,0.0005359714671651,63.0,2
PDGR3,201108,201108,-0.0083262898539517,64.0,2
EVEN3,201108,201108,-0.0144012819861323,65.0,2
NATU3,201108,201108,-0.0557218196192557,66.0,2
PETR4,201108,201108,-0.0603915282219341,67.0,2
FESA4,201108,201108,-0.0616520703797044,68.0,2
INEP4,201108,201108,-0.063903890017601,69.0,3
MBRF3,201108,201108,-0.0874031049129947,70.0,3
MRVE3,201108,201108,-0.0956951681602408,71.0,3
DXCO3,201108,201108,-0.0989348971069031,72.0,3
GPIV33,201108,201108,-0.1132352941176469,73.0,3
BISA3,201108,201108,-0.1341531433025723,74.0,3
VIVR3,201108,201108,-0.1375838926195611,75.0,3
RSID3,201108,201108,-0.1402136454274219,76.0,3
PMAM3,201108,201108,-0.1445729278043285,77.0,3
SLED4,201108,201108,-0.1595437242210636,78.0,3
B3SA3,201108,201108,-0.1614062243163926,79.0,3
GOLL54,201108,201108,-0.1720156714976053,80.0,3
LAND3,201108,201108,-0.1954022988509981,81.0,3
CSNA3,201108,201108,-0.2474334913129928,82.0,3
CNFB4,201108,201108,-0.2550139100951175,83.0,3
NETC4,201108,201108,-0.2594254937250881,84.0,3
SUZB5,201108,201108,-0.2709450114745856,85.0,3
KEPL3,201108,201108,-0.2777777777917811,86.0,3
JBSS3,201108,201108,-0.277852348994908,87.0,3
GOAU4,201108,201108,-0.2789579690806422,88.0,3
BICB4,201108,201108,-0.2789641537050243,89.0,3
BEEF3,201108,201108,-0.2789677794172941,90.0,3
GGBR4,201108,201108,-0.2937917408979829,91.0,3
PLAS3,201108,201108,-0.2971428571702292,92.0,3
OGXP3,201108,201108,-0.3012452107279694,93.0,3
MAGG3,201108,201108,-0.3014705882295645,94.0,3
CYRE3,201108,201108,-0.3046326616728299,95.0,3
AMER3,201108,201108,-0.3110516479831618,96.0,3
MMXM3,201108,201108,-0.3346613545969528,97.0,3
USIM5,201108,201108,-0.3594636450046065,98.0,3
HYPE3,201108,201108,-0.3608091961766676,99.0,3
GFSA3,201108,201108,-0.3709860203668748,100.0,3
LUPA3,201108,201108,-0.4180929095402815,101.0,3
PRML3,201108,201108,-0.4304910310932468,102.0,3
POSI3,201108,201108,-0.5803040285396712,103.0,3
JHSF3,201109,201109,0.5736037389482884,1.0,1
COCE5,201109,201109,0.5051076149355089,2.0,1
ENEV3,201109,201109,0.4502573329369457,3.0,1
ELPL4,201109,201109,0.4107825292570617,4.0,1
