ano,empresa,ticker,total_volume_negociado,flag_trading_days,menor_data,pat_liq,market_cap
2015,PRML,PRML3,866438.849,1.0,1.0,2135528.0,1919671.92
2015,PSSA,PSSA3,4209244.011999999,1.0,1.0,5755224.0,10300114.98
2015,QUAL,QUAL3,13031934.548,1.0,1.0,2071200.0,6994408.1607
2015,RAPT,RAPT4,2285275.556,1.0,1.0,1445254.0,1771986.56
2015,RENT,RENT3,9061627.389,1.0,1.0,1526583.0,7590124.04
2015,RIAA,RIAA3,766292.083,1.0,1.0,2958344.0,6255288.0
2015,RSID,RSID3,2476049.5250000004,1.0,1.0,2394108.0,724968.95081
2015,SAUD,SAUD3,3361890.249,1.0,1.0,680103.0,5046730.524
2015,SEDU,SEDU3,323852.1,1.0,9.0,1586760.0,3027368.6193
2015,SEER,SEER3,1918301.466,1.0,1.0,559734.0,3196694.1193
2015,SIMH,SIMH3,599196.2119999999,1.0,1.0,1026676.0,2563014.732
2015,SLCE,SLCE3,630383.183,1.0,1.0,2112434.0,1893366.3131
2015,SLED,SLED4,457187.73600000003,1.0,1.0,488902.0,511175.5
2015,SMTO,SMTO3,1571964.934,1.0,1.0,2178354.0,4495133.68
2015,STBP,STBP11,758063.647,1.0,1.0,1454788.0,2572473.406
2015,SULA,SULA11,3505308.551,1.0,1.0,3692720.0,5239698.1874
2015,SUZB,SUZB5,10918096.088000001,1.0,1.0,10881850.0,9116557.22
2015,TAEE,TAEE11,2920490.9050000003,1.0,1.0,4108374.0,6855530.1
2015,TCSA,TCSA3,1206388.956,1.0,1.0,1485282.0,1290274.26
2015,TGMA,TGMA3,856035.897,1.0,1.0,376377.0,1385351.3922
2015,TIMS,TIMS3,12472713.962,1.0,1.0,14849842.0,31225530.913
2015,TOTS,TOTS3,5269283.145,1.0,1.0,1082109.0,6199554.84
2015,TUPY,TUPY3,691199.481,1.0,1.0,1918902.0,2768217.6
2015,UGPA,UGPA3,16753489.067,1.0,1.0,7569302.0,28859881.044
2015,USIM,USIM5,14059140.334,1.0,1.0,16966894.0,7153853.391
2015,VALE,VALE5,95621445.651,1.0,1.0,147796076.0,144997968.42
2015,VIVT,VIVT4,12127185.204,1.0,1.0,44474751.0,48426882.4
2015,VLID,VLID3,2910384.5439999998,1.0,1.0,556715.0,2128865.64
2015,VVAR,VVAR11,5507304.015,1.0,1.0,4316919.0,9963165.19
2015,WEGE,WEGE3,4654904.968,1.0,1.0,4631873.0,22818584.941
2015,YDUQ,YDUQ3,19372434.773999996,1.0,1.0,1751963.0,8646241.5
2016,ABEV,ABEV3,53673064.046000004,1.0,1.0,44190417.0,299817818.8
2016,ALPA,ALPA4,1191721.687,1.0,1.0,1955760.0,3603636.4
2016,ALSC,ALSC3,1484171.6860000002,1.0,1.0,1755633.0,2359670.8545
2016,ALUP,ALUP11,705078.54,1.0,1.0,2506446.0,3464038.978
2016,AMER,AMER3,2559642.5439999998,1.0,1.0,2971480.0,5231693.6653
2016,ANIM,ANIM3,2672815.224,1.0,1.0,635986.0,1802335.1085
2016,APER,APER3,462529.43200000003,1.0,1.0,460939.0,114180.83712
2016,ARTR,ARTR3,1182327.023,1.0,1.0,2246127.0,3254995.8
2016,AXIA,AXIA6,3419284.409,1.0,1.0,56432480.0,8640969.8268
2016,AZZA,AZZA3,799555.7849999999,1.0,1.0,576367.0,2129254.82
2016,B3SA,B3SA3,33516507.681,1.0,1.0,19418074.0,20993589.538
2016,BBSE,BBSE3,36518761.21,1.0,1.0,7244375.0,68199229.954
2016,BEEF,BEEF3,2322627.107,1.0,1.0,227491.0,2204087.699
2016,BEMA,BEMA3,328825.2189999999,1.0,1.0,442505.0,404980.3033
2016,BRAP,BRAP4,6672446.739,1.0,1.0,9193794.0,3523264.45
2016,BRFS,BRFS3,41527808.732,1.0,1.0,14528411.0,55669349.632
2016,BRKM,BRKM5,8595776.044,1.0,1.0,4945607.0,9139145.8178
2016,BRML,BRML3,11003233.167,1.0,1.0,9327665.0,6736227.68
2016,BRPR,BRPR3,4412546.086,1.0,1.0,6073118.0,3122447.16
2016,CIEL,CIEL3,41392921.096,1.0,1.0,5298231.0,82402805.637
2016,CMIG,CMIG4,10937634.002999999,1.0,1.0,14108433.0,14940043.26
2016,COGN,COGN3,41413117.217999995,1.0,1.0,12152520.0,19299301.94
2016,CPFE,CPFE3,5967436.176,1.0,1.0,7239819.0,19115523.639
2016,CPLE,CPLE6,5048187.424000001,1.0,1.0,13798687.0,7925404.1523
2016,CRUZ,CRUZ3,9467140.454,1.0,1.0,2369751.0,37340057.93
2016,CSAN,CSAN3,8195283.679,1.0,1.0,8731532.0,10207298.872
2016,CSMG,CSMG3,881514.2890000001,1.0,1.0,5600071.0,1635973.17
2016,CSNA,CSNA3,7940169.08,1.0,1.0,5175831.0,7016377.853
2016,CTIP,CTIP3,15231989.908,1.0,1.0,1705020.0,8903444.713
2016,CVCB,CVCB3,1397908.5069999998,1.0,1.0,483762.0,2506081.266
2016,CYRE,CYRE3,6116795.013,1.0,1.0,5794925.0,3749070.6
2016,CZLT,CZLT33,775692.608,1.0,1.0,5858282.0,5068830.4094
2016,DAGB,DAGB33,2394943.39231,1.0,1.0,13846433.0,23608340.938
2016,DIRR,DIRR3,929760.461,1.0,1.0,1634485.0,746356.58415
2016,DXCO,DXCO3,2745511.1950000003,1.0,1.0,4610339.0,4813953.54
2016,ECOR,ECOR3,3620202.911,1.0,1.0,1545628.0,4312611.5
2016,EGIE,EGIE3,6870475.045,1.0,1.0,6117437.0,22317255.544
2016,ELPL,ELPL4,2623366.539,1.0,1.0,2663682.0,2791221.81
2016,EMBJ,EMBJ3,13763947.145999998,1.0,1.0,11793195.0,17414943.0
2016,ENAT,ENAT3,1242725.6099999999,1.0,1.0,2693834.0,1745659.8882
2016,ENBR,ENBR3,5104310.945,1.0,1.0,5741039.0,5473856.74
2016,EQTL,EQTL3,13613400.575,1.0,1.0,3439289.0,6979393.3698
2016,EVEN,EVEN3,2164686.4979999997,1.0,1.0,2183177.0,738878.4282
2016,EZTC,EZTC3,2001274.016,1.0,1.0,2598912.0,2274206.5877
2016,FIBR,FIBR3,18998138.358,1.0,1.0,14505700.0,23468762.216
2016,FLRY,FLRY3,727468.2030000001,1.0,1.0,1614093.0,2861731.3484
2016,GETI,GETI4,3163696.04,1.0,1.0,1568508.0,6494212.6
2016,GFSA,GFSA3,2115999.666,1.0,1.0,3097881.0,879498.49
2016,GGBR,GGBR4,15585474.249000002,1.0,1.0,34353332.0,11853056.509
2016,GOAU,GOAU4,5463936.714000001,1.0,1.0,12482006.0,2427902.4401
2016,GRND,GRND3,1317227.331,1.0,1.0,2390303.0,5029958.15
2016,HBOR,HBOR3,432627.88600000006,1.0,1.0,1355148.0,517977.0
2016,HGTX,HGTX3,4370935.968,1.0,1.0,1052062.0,1954667.7
2016,HYPE,HYPE3,12407065.099,1.0,1.0,7680034.0,14304814.295
2016,IGTA,IGTA3,3158395.977,1.0,1.0,2571241.0,4337894.31
2016,ISAE,ISAE4,3666774.324,1.0,1.0,5216411.0,6425187.6708
2016,ITSA,ITSA4,41288651.846,1.0,1.0,41568000.0,60350770.499
2016,JBSS,JBSS3,26736769.080000006,1.0,1.0,26278524.0,47233219.036
2016,KLBN,KLBN11,15471555.575,1.0,1.0,6510960.0,17519485.909
2016,LAME,LAME4,9310688.526999999,1.0,1.0,1670855.0,18637000.31
2016,LEVE,LEVE3,920953.6329999999,1.0,1.0,1364281.0,2745801.9
2016,LIGT,LIGT3,3070331.409,1.0,1.0,3699867.0,3452603.6358
2016,LINX,LINX3,1997259.074,1.0,1.0,653103.0,2270379.7196
2016,LREN,LREN3,18527966.898000002,1.0,1.0,2003513.0,14445920.0
2016,MBRF,MBRF3,3662665.374,1.0,1.0,728572.0,2961174.6134
2016,MDIA,MDIA3,2722666.747,1.0,1.0,3507372.0,9266000.0
2016,MGLU,MGLU3,837297.152,1.0,1.0,736331.0,623630.86351
2016,MOTV,MOTV3,19338230.130999997,1.0,1.0,3924076.0,26324905.152
2016,MPLU,MPLU3,3038349.8260000004,1.0,1.0,238186.0,6077768.6625
2016,MRVE,MRVE3,5077199.818,1.0,1.0,4620760.0,3445451.79
2016,MULT,MULT3,9462307.395,1.0,1.0,4149563.0,9045819.9573
2016,MYPK,MYPK3,1828952.8839999998,1.0,1.0,1695781.0,1191922.2
2016,NATU,NATU3,7395403.808999999,1.0,1.0,935529.0,11815541.28
2016,OIBR,OIBR4,4786984.054,1.0,1.0,17006127.0,4132241.1
2016,PCAR,PCAR4,20737934.492,1.0,1.0,10703000.0,19477875.3
2016,PDGR,PDGR3,1283863.3899999997,1.0,1.0,4292032.0,885466.08
2016,PETR,PETR4,129006264.73499998,1.0,1.0,307220000.0,175619596.15
2016,POMO,POMO4,2399592.8479999998,1.0,1.0,1705611.0,1957744.3487
2016,PRML,PRML3,684843.621,1.0,1.0,2698599.0,2194204.46
2016,PSSA,PSSA3,4794053.145,1.0,1.0,6258914.0,13384330.2
2016,QUAL,QUAL3,12104405.647,1.0,1.0,2370374.0,5406159.1042
2016,RAPT,RAPT4,1015455.3689999998,1.0,1.0,1395171.0,886205.72
2016,RENT,RENT3,7232598.066,1.0,1.0,1812190.0,6412460.67
2016,RIAA,RIAA3,514824.56499999994,1.0,1.0,3248518.0,3946488.0
2016,RLOG,RLOG3,640292.42,1.0,1.0,1159005.0,945646.37662
2016,RSID,RSID3,651433.551,1.0,1.0,1571916.0,107122.09792
2016,RUMO,RUMO3,3517698.119,1.0,4.0,3771605.0,3797501.9097
2016,SAUD,SAUD3,4151712.008,1.0,1.0,631000.0,5685126.5717
